authors,title,journal,volume,issue,pages,year,doi,abstract,date
"Abbott JH, Wilson R",The projected burden of knee osteoarthritis in New Zealand: healthcare expenditure and total joint replacement provision---a response,New Zealand Medical Journal ,133,1509,77–78,2020,,"The main purpose of our analysis was to investigate to what extent healthcare costs (including TKR demand) will increase as a result of increasing population obesity in New Zealand. This focus required delimiting the population to that for which we had reliable population data and evidence of the association between obesity, OA and those effects. Among the top 20 causes of disability-related life-years lost in adults, many (such as cardiovascular causes and cancer) have shown decreases between 1990 and 2018, but OA has shown among the greatest rises. This is largely driven by people living longer with OA, rising obesity rates, increasing injury rates and earlier onset of OA.",2020-02-07
"Wilson R, Pryymachenko Y, Audas R, Abbott JH",Long-term opioid medication use before and after joint replacement surgery in New Zealand,New Zealand Medical Journal,132,1507,33–47,2019,,"Aim To describe the use of opioid analgesics over three years before and after total joint replacement surgery in New Zealand.  Method We extracted information on all individuals undergoing publicly funded total hip or knee replacement surgery in New Zealand between June 2011 and December 2014, and linked data on opioid prescribing, from the Statistics New Zealand Integrated Data Infrastructure. We analysed monthly opioid use over the three years before and after surgery and the transition from pre-operative and/or immediate post-operative use to chronic post-operative use.  Results The prevalence of opioid use increased from 7% three years before surgery to 22% immediately prior to surgery, was common (75%) in the month following surgery and declined rapidly to 10—12% per month over the following years. Patients dispensed opioids prior to surgery or in the post-operative recovery period were at significantly higher risk of subsequent chronic opioid use.  Conclusion Opioid analgesic prescribing was reduced following joint replacement surgery, although a substantial minority of patients remained long-term opioid users. Avoiding unnecessary pre-operative opioid use and limiting opioid use for post-operative pain management where appropriate could help to reduce the risk of potentially ineffective or harmful long-term opioid use in these patients.",2019-12-13
"Wilson R, Abbott JH",The projected burden of knee osteoarthritis in New Zealand: healthcare expenditure and total joint replacement provision,New Zealand Medical Journal,132,1503,53–65,2019,,"Aim To estimate the healthcare costs and demand for total knee replacement (TKR) associated with knee osteoarthritis in New Zealand over the period 2013-2038 and the contribution of increasing obesity rates to these costs.  Method We used the NZ-MOA computer simulation model of knee osteoarthritis in the New Zealand population. Osteoarthritis-related healthcare costs and TKR incidence were modelled for a 25-year horizon, for a starting cohort drawn from the 2013 New Zealand population. Population obesity projections were used to estimate the life-course of cohort obesity. Per-person projected outcomes were multiplied by national demographic population projections to obtain total population projections.  Results Healthcare costs of knee osteoarthritis were projected to increase from NZ\$199 million in 2013 to \$370 million in 2038. Annual TKR incidence was projected to increase from 5,070 to 9,040 over the same period. Projected increases in population obesity rates (above the obesity prevalence seen in 2013) accounted for 25% and 47% of the projected increase in per-capita healthcare costs and TKR provision rates, respectively.  Conclusion The healthcare burden of knee OA will continue to increase for the foreseeable future. Public health measures to reduce further increases in population obesity rates would contribute to slowing this rising burden.",2019-10-04
"Darlow B, Stanley J, Dean S, Abbott JH, Garrett S, Wilson R, Mathieson F, Dowell A",The Fear Reduction Exercised Early (FREE) approach to management of low back pain in general practice: A pragmatic cluster-randomised controlled trial,PLOS Medicine,16,9,e1002897,2019,10.1371/journal.pmed.1002897,"Background Effective and cost-effective primary care treatments for low back pain (LBP) are required to reduce the burden of the world’s most disabling condition. This study aimed to compare the clinical effectiveness and cost-effectiveness of the Fear Reduction Exercised Early (FREE) approach to LBP (intervention) with usual general practitioner (GP) care (control).  Methods and findings This pragmatic, cluster-randomised controlled trial with process evaluation and parallel economic evaluation was conducted in the Hutt Valley, New Zealand. Eight general practices were randomly assigned (stratified by practice size) with a 1:1 ratio to intervention (4 practices; 34 GPs) or control group (4 practices; 29 GPs). Adults presenting to these GPs with LBP as their primary complaint were recruited. GPs in the intervention practices were trained in the FREE approach, and patients presenting to these practices received care based on the FREE approach. The FREE approach restructures LBP consultations to prioritise early identification and management of barriers to recovery. GPs in control practices did not receive specific training for this study, and patients presenting to these practices received usual care. Between 23 September 2016 and 31 July 2017, 140 eligible patients presented to intervention practices (126 enrolled) and 110 eligible patients presented to control practices (100 enrolled). Patient mean age was 46.1 years (SD 14.4), and 46% were female. The duration of LBP was less than 6 weeks in 88% of patients. Primary outcome was change from baseline in patient participant Roland Morris Disability Questionnaire (RMDQ) score at 6 months. Secondary patient outcomes included pain, satisfaction, and psychosocial indices. GP outcomes included attitudes, knowledge, confidence, and GP LBP management behaviour. There was active and passive surveillance of potential harms. Patients and outcome assessors were blind to group assignment. Analysis followed intention-to-treat principles. A total of 122 (97%) patients from 32 GPs in the intervention group and 99 (99%) patients from 25 GPs in the control group were included in the primary outcome analysis. At 6 months, the groups did not significantly differ on the primary outcome (adjusted mean RMDQ score difference 0.57, 95% CI −0.64 to 1.78; p = 0.354) or secondary patient outcomes. The RMDQ difference met the predefined criterion to indicate noninferiority. One control group participant experienced an activity-related gluteal tear, with no other adverse events recorded. Intervention group GPs had improvements in attitudes, knowledge, and confidence compared with control group GPs. Intervention group GP LBP management behaviour became more guideline concordant than the control group. In cost-effectiveness, the intervention dominated control with lower costs and higher Quality-Adjusted Life Year (QALY) gains. Limitations of this study were that although adequately powered for primary outcome assessment, the study was not powered for evaluating some employment, healthcare use, and economic outcomes. It was also not possible for research nurses (responsible for patient recruitment) to be masked on group allocation for practices.  Conclusions Findings from this study suggest that the FREE approach improves GP concordance with LBP guideline recommendations but does not improve patient recovery outcomes compared with usual care. The FREE approach may reduce unnecessary healthcare use and produce economic benefits. Work participation or health resource use should be considered for primary outcome assessment in future trials of undifferentiated LBP.",2019-09-09
"Abbott JH, Wilson R, Pinto D, Chapple CM, Wright AA",Incremental clinical effectiveness and cost effectiveness of providing supervised physiotherapy in addition to usual medical care in patients with osteoarthritis of the hip or knee: 2-year results of the MOA randomised controlled trial,Osteoarthritis and Cartilage,27,3,424–434,2019,10.1016/j.joca.2018.12.004,"Objective To investigate the clinical- and cost-effectiveness at 2-year follow-up of providing individual, supervised exercise physiotherapy and/or manual physiotherapy in addition to usual medical care.  Method People with hip or knee osteoarthritis meeting the American College of Rheumatology clinical diagnostic criteria were randomised (1:1, concealed, assessor-blinded) to four groups: usual medical care; supervised exercise physiotherapy; manual physiotherapy; or combined exercise and manual physiotherapy. Physiotherapy group participants were provided 10 50-min treatment sessions including booster sessions at 4 and 13 months, in addition to usual care. The primary outcome at 2-year follow-up was incremental cost-utility ratio (ICUR) of each physiotherapy intervention in addition to usual care, compared with usual care alone, from the health system and societal perspectives. To allow interpretation of negative ICURs, we report incremental net benefit (INB). The primary clinical outcome was the Western Ontario and McMaster Osteoarthritis Index (WOMAC).  Results Of 206 patients, 186 (90.3%) were retained at 2-year follow-up. Exercise physiotherapy and manual physiotherapy dominated usual care, demonstrating cost savings; combined therapy did not. Exercise therapy had the highest incremental net benefits (INBs), statistically significant at all willingness-to-pay (base-case: societal New Zealand (NZ)\$6,312, 95%CI 334 to 12,279; health system NZ\$8,065, 95%CI 136 to 15,994). Clinical improvements were superior to usual care only in the exercise physiotherapy group (−28.2 WOMAC points, 95%CI -49.2 to −7.1). No serious adverse events were recorded.  Conclusion Individually supervised exercise therapy is cost-effective and clinically effective in addition to usual medical care at 2-year follow-up, and leads to cost savings for the health system and society.",2018-12-13
"Wilson R, Abbott JH","Age, period and cohort effects on body mass index in New Zealand, 1997-2038",Australian and New Zealand Journal of Public Health,42,4,396–402,2018,10.1111/1753-6405.12804,"Objective To estimate the effects of age, period and birth cohort on observed trends, and to provide short- to medium-term projections of population BMI in New Zealand.  Methods Data were obtained from New Zealand national health surveys covering the period 1997 to 2015 (n=76,294 individuals). A Hierarchical Age-Period-Cohort (HAPC) model and an Age-Period model with interaction terms were specified for population groups defined by ethnicity and sex. Observed trends were extrapolated to estimate group-specific BMI projections for the period 2015—2038; these were weighted by projected population sizes to calculate population-wide BMI projections.  Results Population mean BMI increased from 26.4 kg/m^2^ (95%CI 26.2–26.5) in 1997 to 28.3 kg/m^2^ (95%CI 28.2–28.5) in 2015. Both models identified substantial, approximately linear, period trends behind this increase, with no significant cohort effects. Mean BMI was projected to reach 30.6 kg/m^2^ (95%CI 29.4—31.7; HAPC model) to 30.8 kg/m^2^ (95%CI 30.2—31.4; Age-Period model) by 2038.  Conclusion BMI continues to increase in New Zealand. On current trends, population mean BMI will exceed 30 kg/m^2^ — the clinical cut-off for obesity — by the early 2030s.  Implications for public health Unless prevented by comprehensive public health policy changes, increasing population obesity is likely to result in unfavourable economic and health impacts.",2018-07-04
"Wilson R, Abbott JH",Development and validation of a new population-based simulation model of osteoarthritis in New Zealand,Osteoarthritis and Cartilage,26,4,531–539,2018,10.1016/j.joca.2018.01.004,"Objective To describe the construction and preliminary validation of a new population-based microsimulation model developed to analyse the health and economic burden and cost-effectiveness of treatments for knee osteoarthritis (OA) in New Zealand (NZ).  Method We developed the New Zealand Management of Osteoarthritis (NZ-MOA) model, a discrete-time state-transition microsimulation model of the natural history of radiographic knee OA. In this article, we report on the model structure, derivation of input data, validation of baseline model parameters against external data sources, and validation of model outputs by comparison of the predicted population health loss with previous estimates.  Results The NZ-MOA model simulates both the structural progression of radiographic knee OA and the stochastic development of multiple disease symptoms. Input parameters were sourced from NZ population-based data where possible, and from international sources where NZ-specific data were not available. The predicted distributions of structural OA severity and health utility detriments associated with OA were externally validated against other sources of evidence, and uncertainty resulting from key input parameters was quantified. The resulting lifetime and current population health-loss burden was consistent with estimates of previous studies.  Conclusion The new NZ-MOA model provides reliable estimates of the health loss associated with knee OA in the NZ population. The model structure is suitable for analysis of the effects of a range of potential treatments, and will be used in future work to evaluate the cost-effectiveness of recommended interventions within the NZ healthcare system.",2018-01-10
"Wilson R, Blakely T, Abbott JH",Radiographic knee osteoarthritis impacts multiple dimensions of health-related quality of life: Data from the Osteoarthritis Initiative,Rheumatology,57,5,891–899,2018,10.1093/RHEUMATOLOGY/KEY008,"Objectives To estimate the multi-dimensional health impact of radiographic knee OA and quantify the overall health-related quality of life (HRQoL) burden, using a preference-based health utilities measure.  Methods Data on self-reported HRQoL, measured using the SF-12 multi-dimensional health state instrument, were obtained for 2895 patients with radiographic knee OA (Kellgren–Lawrence grade of at least 2) from the Osteoarthritis Initiative and for a general population sample of 3202 from the National Health Measurement Study. The SF-12 was converted to the six-dimensional SF-6D classification to compute preference-based health utilities. Generalized ordinal regression and multinomial regression were used to estimate the health loss on each SF-6D dimension for Osteoarthritis Initiative participants with radiographic knee OA relative to the general population, adjusted for differences in age, BMI, sex, ethnicity and educational level. Predicted SF-6D profiles were then used to compute the average HRQoL loss attributable to radiographic knee OA.  Results Radiographic knee OA was associated with substantial health losses on all dimensions of the SF-6D except for social functioning. Health losses increased with the radiographic severity of OA in dimensions related to physical health, while there was no relationship between worse radiographic disease and worse self-assessed health in mental and emotional dimensions of health. Overall, radiographic knee OA was associated with a HRQoL detriment of 0.040–0.044 at Kellgren–Lawrence grade 2, increasing to 0.045–0.050 at grade 3 and 0.073–0.081 at grade 4.  Conclusion Radiographic knee OA is significantly associated with worse HRQoL across most dimensions of health.",2018-02-21
"Abbott JH, Usiskin IM, Wilson R, Hansen P, Losina E",The quality-of-life burden of knee osteoarthritis in New Zealand adults: A model-based evaluation,PLOS ONE,12,10,e0185676,2017,10.1371/journal.pone.0185676,"Background Knee osteoarthritis is a leading global cause of health-related quality of life loss. The aim of this project was to quantify health losses arising from knee osteoarthritis in New Zealand (NZ) in terms of quality-adjusted life years (QALYs) lost.  Methods The Osteoarthritis Policy Model (OAPol), a validated Monte Carlo computer simulation model, was used to estimate QALYs lost due to knee osteoarthritis in the NZ adult population aged 40–84 over their lifetimes from the base year of 2006 until death. Data were from the NZ Health Survey, NZ Burden of Diseases, NZ Census, and relevant literature. QALYs were derived from NZ EQ-5D value set 2. Sensitivity to health state valuation, disease and pain prevalence were assessed in secondary analyses.  Results Based on NZ EQ-5D health state valuations, mean health losses due to knee osteoarthritis over people’s lifetimes in NZ are 3.44 QALYs per person, corresponding to 467,240 QALYs across the adult population. Average estimated per person QALY losses are higher for non-Māori females (3.55) than Māori females (3.38), and higher for non-Māori males (3.34) than Māori males (2.60). The proportion of QALYs lost out of the total quality-adjusted life expectancy for those without knee osteoarthritis is similar across all subgroups, ranging from 20 to 23 percent.  Conclusion At both the individual and population levels, knee osteoarthritis is responsible for large lifetime QALY losses. QALY losses are higher for females than males due to greater prevalence of knee osteoarthritis and higher life expectancy, and lower for Māori than non-Māori due to lower life expectancy. Large health gains are potentially realisable from public health and policy measures aimed at decreasing incidence, progression, pain, and disability of osteoarthritis.",2017-10-24
Wilson R,Does Governance Cause Growth? Evidence from China,World Development,79,,138–151,2016,10.1016/j.worlddev.2015.11.015,"This study tests the causal relationships between quality of governance and economic growth at the provincial level in China during the post-Mao reform era. Exploiting the wide cross-provincial variation and rapid change over time in governance institutions and economic performance in China during this period (covering 1985–2005), the study provides a new perspective on the relationship between governance and growth. Whereas a large body of prior literature has demonstrated a strong positive association between high-quality governance institutions and good economic performance at the cross-country level, few quantitative studies have explicitly tested the direction of causality between changes in governance quality and changes in economic outcomes. This study aims to address this gap in the literature by testing two causal hypotheses on the interplay between provincial-level governance and economic performance in China: (i) improvements in provincial quality of governance predict subsequent economic growth rates, and (ii) increases in provincial economic growth rates predict subsequent changes in quality of governance. Using new heterogeneous Granger causality tests that allow for potential differences in the causal relations across provinces, I show a significant and positive effect of economic growth on subsequent quality of governance, largely driven by growth in the secondary sector, but no significant effect of quality of governance on economic growth. These findings suggest that improvements in formal governance have not been a key factor driving China’s rapid growth; instead, the observed positive association between governance and growth reflects the ability of provincial governments to harness the potential created by economic growth to implement subsequent governance improvements. For researchers studying the effect of governance on growth, the results suggest that greater attention should be paid to possible reverse causality from economic outcomes to governance changes.",2015-12-17
"Wilson R, Hansen P, Langley J, Derrett S",A comparison of injured patient and general population valuations of EQ-5D health states for New Zealand,Health and Quality of Life Outcomes,12,,21,2014,10.1186/1477-7525-12-21,"Background A near-universal finding internationally is that patient valuations of their own health, represented using the EQ-5D system, are mostly higher than general population valuations of the same EQ-5D states. This paper investigates whether this result also applies to New Zealand. Despite the EQ-5D’s widespread use for cost-utility analysis in New Zealand, in particular by the Pharmaceutical Management Agency (PHARMAC) for health technology assessments, no previous studies comparing patient and general population valuations have included data for New Zealand.  Methods Valuations of 13 EQ-5D health states from a 1999 survey of the New Zealand general population (n = 396) are compared with injured New Zealanders’ (n = 2099) valuations of their own health (also represented on the EQ-5D) collected between 2007 and 2009 in the Prospective Outcomes of Injury Study. Which EQ-5D dimensions are most strongly associated with the population valuations is also investigated.  Results Injured population valuations are higher (better-rated health) than general population valuations for all 13 health states considered except 11111 (no problems on any EQ-5D dimension). This difference, which tends to be larger the ‘worse’ the state, is statistically significant at the 10% level for most of the states. State 11111 is rated significantly lower by the injured population than the general population. Pain/discomfort is more important in determining valuations for the general population than for injured people, whereas problems with self-care are more important for the injured population; anxiety/depression is important in both general and injured population valuations.  Conclusion Consistent with the international literature, injured people’s valuations of their own health are mostly higher than the general population’s hypothetical valuations of the same EQ-5D states for New Zealand. These differences are practically significant in the sense that they are larger than minimally important differences for the EQ-5D from the literature, and they appear capable of significantly affecting CUA results.",2014-02-18
"Wilson R, Derrett S, Hansen P, Langley JD","Costs of injury in New Zealand: Accident Compensation Corporation spending, personal spending and quality-adjusted life years lost",Injury Prevention,19,,124–129,2013,10.1136/injuryprev-2011-040252,"Background New Zealand offers a unique opportunity for cost-of-injury research due to its comprehensive, no-fault injury compensation insurance scheme, which is managed by the government-controlled Accident Compensation Corporation (ACC).  Objectives To estimate the costs of injury in New Zealand with respect to ACC’s spending for entitlement claimants (ie, people with injuries requiring more than ‘treatment only’), as well as injured individuals’ out-of-pocket personal spending and non-pecuniary costs in terms of effects on health-related quality of life (HRQoL).  Methods A prospective cohort study of people injured between June 2007 and May 2009 was followed for 12 months after injury. ACC’s spending for each participant (n=2215) was estimated from ACC data. Out-of-pocket personal spending and quality-adjusted life years (QALYs) lost were estimated based on interviews conducted at 3, 5 and 12 months post injury.  Results For the cohort studied, most of the reported financial costs of injury were met by ACC. ACC spending was higher for individuals with more severe injuries and ones admitted to hospital. There was no difference in mean personal spending between people who were hospitalised or not, or between those with minor or moderate injuries, although individuals with more severe injuries reported higher personal spending.  Conclusions Overall, the ACC appears to be performing well supporting injured people financially. Nonetheless, people with more severe injuries incur substantial out-of-pocket expenses. Costs are higher for hospitalised and more severe injuries, but non-hospitalised and less severe cases can still incur substantial costs. The HRQoL effects of injury—naturally, borne by injured individuals themselves—are relatively large on average.",2012-06-15
"Williamson M, Wilson R, McKechnie RC, Ross J",Does the positive influence of an undergraduate rural placement persist into postgraduate years?,Rural and Remote Health,12,2,2011,2012,10.22605/RRH2011,"Introduction Medical schools worldwide are playing a role in addressing the shortage of rural health practitioners. Selection of rural-origin students and long-term rural undergraduate placements have been shown to have a positive influence on a subsequent career choice of rural health. Evidence for the impact of short-term rural placements is less clear. In New Zealand, the Otago University Faculty of Medicine introduced a 7 week rural undergraduate placement at the Dunedin School Of Medicine, one of its three clinical schools, in 2000. A study of the first two annual cohorts showed a positive influence of the course on student attitudes to rural health and their intention to practise in a rural setting. The purpose of this study was to test whether or not these effects persisted into postgraduate years.  Method The original study cohorts were posted a questionnaire (questions worded identically to the original survey) in 2009 (5th and 6th postgraduate years). Non-responders were followed up after 2 months. Graduates from the same year cohort at the two other Otago clinical schools (Christchurch and Wellington) were also surveyed. In addition to analysis by question, principal component analysis (PCA) identified 3 questions which represented the influence of the medical undergraduate program on students’ attitudes towards rural general practice. This was used as an index of influence of the undergraduate curriculum.  Results There was a statistically significant difference among graduates from Dunedin and the other two schools in reporting a positive influence towards rural practice from the undergraduate course.When asked how the medical undergraduate program influenced their attitude towards a career in rural practice, 56% of respondents from Dunedin reported a positive influence compared with 24% from Christchurch and 15% Wellington. This effect was less strong than that obtained immediately after the rural placement where 70% of Dunedin based students reported a positive influence. The index value for positive effect on attitudes was significantly higher for respondents who studied at Dunedin than at Wellington (mean index value 0.552 for Dunedin, -0.374 for Wellington t=4.172, p=0.000) or Christchurch (mean index value -0.083 for Christchurch t=2.606, p=0.011). There was no significant difference between Christchurch and Wellington (t=1.420, p=0.160). There was no significant difference among schools in the proportion of graduates who had worked or intended to work in rural general practice at any point in their career (24% Dunedin, 31% Christchurch, 16% Wellington (Phi=0.160, p=0.178).  Conclusion Most of the literature on the influence of rural undergraduate placements, especially short term placements, examines immediate changes. This study adds to the evidence by showing that positive effects from a rural undergraduate placement persist into the postgraduate years, although that in isolation is unlikely to result in a significant workforce effect. Further investigation is warranted into which features of the undergraduate placement result in an extended positive effect on student attitudes.",2012-06-19
"Wilson R, Derrett S, Hansen P, Langley J",Retrospective evaluation versus population norms for the measurement of baseline health status,Health and Quality of Life Outcomes,10,,68,2012,10.1186/1477-7525-10-68,"Background Patient recall or the application of population norms are commonly used methods to estimate (unobservable) health status prior to acute-onset illness or injury; however, both measures are potentially subject to bias. This article reports tests of the validity of both approaches, and discusses the implications for reporting changes in health-related quality of life following acute-onset illness or injury.  Methods Recalled pre-injury health status and health status at 5- and 12-months post-injury were collected from participants in a prospective cohort study of people injured in New Zealand. Reported post-injury health status was compared with recalled pre-injury status and New Zealand norms for two groups: those who reported having fully recovered, and those who had not.  Results There was a small but statistically significant difference between pre- and post-injury health state valuations for people who had fully recovered, with recalled pre-injury health status being higher than reported post-injury health. Perceived health status for those who had fully recovered was significantly higher than the population norm.  Conclusions Retrospective evaluation of health status is more appropriate than the application of population norms to estimate health status prior to acute-onset injury or illness, although there may be a small upward bias in such measurements.",2012-06-14
